"status" "family" "pval" "qval" "gene_short_name" "num_cells_expressed"
"ENSMUSG00000000594" "OK" "tobit" 4.10878906137276e-21 3.43482629866869e-20 "Gm2a" 427
"ENSMUSG00000000600" "OK" "tobit" 3.95708153503628e-05 0.000106214635614437 "Krit1" 333
"ENSMUSG00000000605" "OK" "tobit" 2.31150214856927e-06 7.14316807463891e-06 "Clcn4-2" 359
"ENSMUSG00000000628" "OK" "tobit" 6.14160795445321e-05 0.000161059705622242 "Hk2" 308
"ENSMUSG00000000631" "OK" "tobit" 1.56365114342138e-13 8.66266012695871e-13 "Myo18a" 423
"ENSMUSG00000000673" "OK" "tobit" 2.838591471449e-68 8.83922884527833e-67 "Haao" 311
"ENSMUSG00000000686" "OK" "tobit" 2.65383166938669e-07 9.04585633543637e-07 "Abhd15" 153
"ENSMUSG00000000708" "OK" "tobit" 0.414868450640561 0.487736607525062 "Kat2b" 179
"ENSMUSG00000000711" "OK" "tobit" 0.0014171744790285 0.00305566800334672 "Rab5b" 426
"ENSMUSG00000000724" "OK" "tobit" 0.129745847657157 0.182458794839605 "Cryba1" 28
"ENSMUSG00000000730" "OK" "tobit" 0.476019438577127 0.545989100247534 "Dnmt3l" 49
"ENSMUSG00000000732" "OK" "tobit" 9.6601529892751e-13 5.05324834587493e-12 "Icosl" 243
"ENSMUSG00000000738" "OK" "tobit" 0.0113270181727995 0.0205957597842 "Spg7" 387
"ENSMUSG00000000739" "OK" "tobit" 0.844503303742701 0.871841162269381 "Sult5a1" 27
"ENSMUSG00000000740" "OK" "tobit" 1.37077842175523e-27 1.51195810611138e-26 "Rpl13" 447
"ENSMUSG00000000743" "OK" "tobit" 4.99068668139614e-09 1.97066227952488e-08 "Chmp1a" 442
"ENSMUSG00000000751" "OK" "tobit" 0.000918199997796356 0.0020394436610247 "Rpa1" 386
"ENSMUSG00000000753" "OK" "tobit" 6.04331754933435e-39 1.00195170666265e-37 "Serpinf1" 447
"ENSMUSG00000000759" "OK" "tobit" 5.95396148541035e-05 0.000156397563048979 "Tubgcp3" 319
"ENSMUSG00000000776" "OK" "tobit" 0.0827604298060186 0.122903852002754 "Polr3d" 371
"ENSMUSG00000000782" "OK" "tobit" 0.172410457691941 0.232927527652342 "Tcf7" 155
"ENSMUSG00000000787" "OK" "tobit" 1.18350407719301e-21 1.02337913930765e-20 "Ddx3x" 445
"ENSMUSG00000000804" "OK" "tobit" 0.0468965842974871 0.0742049377173975 "Usp32" 187
"ENSMUSG00000000805" "OK" "tobit" 0.142930760199349 0.198375879961443 "Car4" 172
"ENSMUSG00000000811" "OK" "tobit" 0.308081220719489 0.38018431550949 "Txnrd3" 262
"ENSMUSG00000000823" "OK" "tobit" 0.0254657987583856 0.0429762468399075 "Znf512b" 395
"ENSMUSG00000000826" "OK" "tobit" 4.37863158447212e-33 5.97771839912861e-32 "Dnajc5" 434
"ENSMUSG00000000827" "OK" "tobit" 3.15330691611005e-19 2.43329671958833e-18 "Tpd52l2" 447
"ENSMUSG00000000838" "OK" "tobit" 0.000259480665106272 0.000626373521464272 "Fmr1" 398
"NA.4" NA NA NA NA NA NA
"ENSMUSG00000000869" "OK" "tobit" 0.000181407336155141 0.000445783919078913 "Il4" 24
"ENSMUSG00000000876" "OK" "tobit" 1.14172665531174e-24 1.12609629662048e-23 "Pxmp4" 442
"ENSMUSG00000000881" "OK" "tobit" 0.00169043726488163 0.00359933243530008 "Dlg3" 51
"ENSMUSG00000000884" "OK" "tobit" 0.146613582852944 0.202564965848951 "Gnb1l" 228
"ENSMUSG00000000901" "OK" "tobit" 1.09297805859608e-22 9.96413483170802e-22 "Mmp11" 201
"ENSMUSG00000000902" "OK" "tobit" 1.13441709856117e-16 7.58031661559635e-16 "Smarcb1" 442
"ENSMUSG00000000903" "OK" "tobit" 0.0953710571878057 0.139371787789305 "Vpreb3" 58
"ENSMUSG00000000915" "OK" "tobit" 0.538895627169924 0.604578458601033 "Hip1r" 435
"ENSMUSG00000000916" "OK" "tobit" 0.508750482029093 0.576389931391074 "Nsun5" 329
"ENSMUSG00000000934" "OK" "tobit" 7.25044481230126e-08 2.59470648622658e-07 "Top1mt" 384
"ENSMUSG00000000948" "OK" "tobit" 0.0331377203066022 0.0545356522541423 "Snrpn" 363
"ENSMUSG00000000957" "OK" "tobit" 5.18934899359683e-27 5.62593581043159e-26 "Mmp14" 442
"ENSMUSG00000000958" "OK" "tobit" 0.0409598936852372 0.065856595142119 "Slc7a7" 289
"ENSMUSG00000000959" "OK" "tobit" 0.012664738683862 0.0228161068582874 "Oxa1l" 435
"ENSMUSG00000000976" "OK" "tobit" 0.0581922642485153 0.0899763328786428 "Heatr6" 345
"ENSMUSG00000001016" "OK" "tobit" 3.45406768376722e-43 6.42570103142141e-42 "Ilf2" 439
"ENSMUSG00000001017" "OK" "tobit" 8.97865373880201e-14 5.0483030067404e-13 "Chtop" 447
"ENSMUSG00000001018" "OK" "tobit" 6.26988948877588e-08 2.25499769451095e-07 "Snapin" 402
"ENSMUSG00000001034" "OK" "tobit" 8.10448153520669e-09 3.15152189237061e-08 "Mapk7" 275
"ENSMUSG00000001036" "OK" "tobit" 1.77625449358981e-05 4.9566256555279e-05 "Epn2" 224
"ENSMUSG00000001039" "OK" "tobit" 5.92004391551357e-23 5.47448635127714e-22 "B9d1" 199
"ENSMUSG00000001052" "OK" "tobit" 9.93279460934001e-11 4.49043909178663e-10 "Sec24b" 427
"ENSMUSG00000001053" "OK" "tobit" 0.470428628863757 0.540859840961159 "N4bp3" 159
"ENSMUSG00000001054" "OK" "tobit" 0.180200137943446 0.241945970893996 "Rmnd5b" 377
"ENSMUSG00000001056" "OK" "tobit" 1.17269811354166e-16 7.82292302173205e-16 "Nhp2" 446
"ENSMUSG00000001062" "OK" "tobit" 0.808981706554688 0.841582941485596 "Vps9d1" 259
"ENSMUSG00000001065" "OK" "tobit" 0.0209546860323142 0.0360386039075715 "Zfp276" 231
"ENSMUSG00000001082" "OK" "tobit" 2.31454754175861e-27 2.53528531699198e-26 "Mfsd10" 377
"ENSMUSG00000001089" "OK" "tobit" 1.83810606239519e-40 3.17018292589378e-39 "Luzp1" 406
"ENSMUSG00000001098" "OK" "tobit" 1.07868513939155e-13 6.02649258348823e-13 "Kctd10" 355
"ENSMUSG00000001100" "OK" "tobit" 4.74935925937115e-05 0.000126029372611808 "Poldip2" 447
"ENSMUSG00000001103" "OK" "tobit" 0.0203217121364112 0.0350450590101314 "Sebox" 24
"ENSMUSG00000001105" "OK" "tobit" 9.09641619629159e-05 0.000233618504193527 "Ift20" 446
"ENSMUSG00000001119" "OK" "tobit" 2.8770833786046e-57 7.45126986125539e-56 "Col6a1" 12
"ENSMUSG00000001120" "OK" "tobit" 0.00035731163714057 0.000845282007265379 "Pcbp3" 201
"ENSMUSG00000001123" "OK" "tobit" 0.0714889995374167 0.107864920827387 "Lgals9" 384
"ENSMUSG00000001127" "OK" "tobit" 0.00483353864778062 0.00947108265141833 "Araf" 446
"ENSMUSG00000001128" "OK" "tobit" 0.0697257387402124 0.105513935366848 "Cfp" 70
"ENSMUSG00000001131" "OK" "tobit" 2.7739960954919e-06 8.50441743008639e-06 "Timp1" 175
"ENSMUSG00000001134" "OK" "tobit" 0.31159356383907 0.383563062041725 "Uxt" 414
"ENSMUSG00000001138" "OK" "tobit" 0.623574852719468 0.681443837258933 "Cnnm3" 199
"ENSMUSG00000001143" "OK" "tobit" 0.675497196775252 0.726661501892748 "Lman2l" 353
"ENSMUSG00000001150" "OK" "tobit" 5.84262294884009e-07 1.91650607903798e-06 "Mcm3ap" 308
"ENSMUSG00000001151" "OK" "tobit" 4.38242624428315e-10 1.88446706380596e-09 "Pcnt" 274
"ENSMUSG00000001155" "OK" "tobit" 1.01771615861931e-12 5.31492623199871e-12 "Ftcd" 440
"ENSMUSG00000001156" "OK" "tobit" 0.384582905308366 0.457964259152532 "Mxd1" 158
"ENSMUSG00000001157" "OK" "tobit" 0.23947123751232 0.307486966507637 "Gmcl1" 289
"ENSMUSG00000001158" "OK" "tobit" 8.63907564954104e-06 2.5120042018937e-05 "Snrnp27" 446
"ENSMUSG00000001173" "OK" "tobit" 0.0049397311896422 0.00966959853721487 "Ocrl" 200
"ENSMUSG00000001175" "OK" "tobit" 1.79080063621864e-33 2.48548074291291e-32 "Calm1" 447
"ENSMUSG00000001211" "OK" "tobit" 3.2900226775417e-10 1.42672666043874e-09 "Agpat3" 360
"ENSMUSG00000001227" "OK" "tobit" 0.00785640051102196 0.0147553122715196 "Sema6b" 37
"ENSMUSG00000001228" "OK" "tobit" 1.82246351200645e-13 1.0036847347221e-12 "Uhrf1" 343
"ENSMUSG00000001229" "OK" "tobit" 0.00531517725984145 0.0103470350735061 "Dpp9" 424
"ENSMUSG00000001240" "OK" "tobit" 0.0125582321739064 0.0226422454733724 "Ramp2" 138
"ENSMUSG00000001247" "OK" "tobit" 6.94550273174153e-40 1.18245132436201e-38 "Lsr" 447
"ENSMUSG00000001248" "OK" "tobit" 0.00244037554461858 0.00506613652681134 "Gramd1a" 319
"ENSMUSG00000001249" "OK" "tobit" 2.31275756763446e-26 2.44218570599642e-25 "Hpn" 447
"ENSMUSG00000001270" "OK" "tobit" 2.51868245071982e-11 1.18671572068695e-10 "Ckb" 153
"ENSMUSG00000001280" "OK" "tobit" 0.00948446810930156 0.0175004446487113 "Sp1" 267
"ENSMUSG00000001281" "OK" "tobit" 0.0301577689973575 0.0500996372086904 "Itgb7" 45
"ENSMUSG00000001285" "OK" "tobit" 4.13845580480702e-08 1.51523503132805e-07 "Myg1" 436
"ENSMUSG00000001288" "OK" "tobit" 0.200719012995305 0.265005943854693 "Rarg" 47
"ENSMUSG00000001289" "OK" "tobit" 1.06557236052392e-40 1.85596944113233e-39 "Pfdn5" 447
"NA.5" NA NA NA NA NA NA
"ENSMUSG00000001305" "OK" "tobit" 2.63454921083054e-05 7.21077620301571e-05 "Rrp15" 427
"ENSMUSG00000001313" "OK" "tobit" 0.264940948214604 0.335488857489932 "Rnd2" 93
"ENSMUSG00000001323" "OK" "tobit" 0.278872118060284 0.350302985517159 "Srr" 198
